Id no.,Dex no.,id,Species,Type 1,Type 2,HP Group,Starting HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,size helper,,,Size Class,weight helper,Weight Class,Egg Group 1,Egg Group 2,Ability 1,Ability 2,Hidden Ability,Region,Relevant?
721,587,emolga-default,Emolga,Electric,Flying,+1d6/lvl,20,7,6,7,6,10,1,4,16,Small,11.02,Light,Field,,Static,,Motor Drive,Unova,y
722,588,karrablast-default,Karrablast,Bug,,+1d6/lvl,20,7,4,4,4,6,1,8,20,Small,13.01,Light,Bug,,Swarm,Shed Skin,No Guard,Unova,y
723,589,escavalier-default,Escavalier,Bug,Steel,+1d8/lvl,21,13,10,6,10,2,3,3,39,Small,72.75,Light,Bug,,Swarm,Shell Armor,Overcoat,Unova,
724,590,foongus-default,Foongus,Grass,Poison,+1d6/lvl,20,5,4,5,5,1,0,8,8,Small,2.2,Feather,Grass,,Effect Spore,,Regenerator,Unova,y
725,591,amoonguss-default,Amoonguss,Grass,Poison,+1d10/lvl,22,8,7,8,8,3,1,12,24,Small,23.15,Light,Grass,,Effect Spore,,Regenerator,Unova,
726,592,frillish-male,Frillish,Water,Ghost,+1d6/lvl,20,4,5,6,8,4,3,11,47,Medium,72.75,Light,Amorphous,,Water Absorb,Cursed Body,Damp,Unova,y
727,593,jellicent-male,Male Jellicent,Water,Ghost,+1d10/lvl,22,6,7,8,10,6,7,3,87,Large,297.62,Heavy,Amorphous,,Water Absorb,Cursed Body,Damp,Unova,
728,594,alomomola-default,Alomomola,Water,,+1d12/lvl,23,7,8,4,4,6,3,11,47,Medium,69.67,Light,Water 1,Water 2,Healer,Hydration,Regenerator,Unova,y
729,595,joltik-default,Joltik,Bug,Electric,+1d6/lvl,20,4,5,5,5,6,0,4,4,Small,1.32,Feather,Bug,,Compound Eyes,Unnerve,Swarm,Unova,y
730,596,galvantula-default,Galvantula,Bug,Electric,+1d8/lvl,21,7,6,9,6,10,2,7,31,Small,31.53,Light,Bug,,Compound Eyes,Unnerve,Swarm,Unova,
731,597,ferroseed-default,Ferroseed,Grass,Steel,+1d4/lvl,19,5,9,2,8,1,1,12,24,Small,41.45,Light,Grass,Mineral,Iron Barbs,,,Unova,y
732,598,ferrothorn-default,Ferrothorn,Grass,Steel,+1d8/lvl,21,9,13,5,11,2,3,3,39,Small,242.51,Medium,Grass,Mineral,Iron Barbs,,Anticipation,Unova,
733,599,klink-default,Klink,Steel,,+1d4/lvl,19,5,7,4,6,3,0,12,12,Small,46.3,Light,Mineral,,Plus,Minus,Clear Body,Unova,y
734,600,klang-default,Klang,Steel,,+1d6/lvl,20,8,9,7,8,5,1,12,24,Small,112.44,Medium,Mineral,,Plus,Minus,Clear Body,Unova,
735,601,klinklang-default,Klinklang,Steel,,+1d6/lvl,20,10,11,7,8,9,1,12,24,Small,178.57,Medium,Mineral,,Plus,Minus,Clear Body,Unova,
736,602,tynamo-default,Tynamo,Electric,,+1d4/lvl,19,5,4,4,4,6,0,8,8,Small,0.66,Feather,Amorphous,,Levitate,,,Unova,y
737,603,eelektrik-default,Eelektrik,Electric,,+1d6/lvl,20,8,7,7,7,4,3,11,47,Medium,48.5,Light,Amorphous,,Levitate,,,Unova,
738,604,eelektross-default,Eelektross,Electric,,+1d8/lvl,21,11,8,10,8,5,6,11,83,Medium,177.47,Medium,Amorphous,,Levitate,,,Unova,
739,605,elgyem-default,Elgyem,Psychic,,+1d6/lvl,20,5,5,8,5,3,1,8,20,Small,19.84,Light,Human-Like,,Telepathy,Synchronize,Analytic,Unova,y
740,606,beheeyem-default,Beheeyem,Psychic,,+1d8/lvl,21,7,7,12,9,4,3,3,39,Small,76.06,Light,Human-Like,,Telepathy,Synchronize,Analytic,Unova,
741,607,litwick-default,Litwick,Ghost,Fire,+1d6/lvl,20,3,5,6,5,2,0,12,12,Small,6.83,Feather,Amorphous,,Flash Fire,Flame Body,Infiltrator,Unova,y
742,608,lampent-default,Lampent,Ghost,Fire,+1d6/lvl,20,4,6,9,6,5,1,12,24,Small,28.66,Light,Amorphous,,Flash Fire,Flame Body,Infiltrator,Unova,
743,609,chandelure-default,Chandelure,Ghost,Fire,+1d6/lvl,20,5,9,14,9,8,3,3,39,Small,75.62,Light,Amorphous,,Flash Fire,Flame Body,Infiltrator,Unova,
744,610,axew-default,Axew,Dragon,,+1d6/lvl,20,8,6,3,4,5,1,12,24,Small,39.68,Light,Monster,Dragon,Rivalry,Mold Breaker,Unnerve,Unova,y
745,611,fraxure-default,Fraxure,Dragon,,+1d6/lvl,20,11,7,4,5,6,3,3,39,Small,79.37,Light,Monster,Dragon,Rivalry,Mold Breaker,Unnerve,Unova,
746,612,haxorus-default,Haxorus,Dragon,,+1d8/lvl,21,14,9,6,7,9,5,11,71,Medium,232.59,Medium,Monster,Dragon,Rivalry,Mold Breaker,Unnerve,Unova,
747,613,cubchoo-default,Cubchoo,Ice,,+1d6/lvl,20,7,4,6,4,4,1,8,20,Small,18.74,Light,Field,,Snow Cloak,Slush Rush,Rattled,Unova,y
748,614,beartic-default,Beartic,Ice,,+1d10/lvl,22,13,8,7,8,5,8,6,102,Large,573.2,Massive,Field,,Snow Cloak,Slush Rush,Swift Swim,Unova,
749,615,cryogonal-default,Cryogonal,Ice,,+1d8/lvl,21,5,5,9,13,10,3,7,43,Medium,326.28,Heavy,Mineral,,Levitate,,,Unova,y
750,616,shelmet-default,Shelmet,Bug,,+1d6/lvl,20,4,8,4,6,2,1,4,16,Small,16.98,Light,Bug,,Hydration,Shell Armor,Overcoat,Unova,y
751,617,accelgor-default,Accelgor,Bug,,+1d8/lvl,21,7,4,10,6,14,2,7,31,Small,55.78,Light,Bug,,Hydration,Sticky Hold,Unburden,Unova,
752,618,stunfisk-default,Stunfisk,Ground,Electric,+1d10/lvl,22,6,8,8,9,3,2,4,28,Small,24.25,Light,Water 1,Amorphous,Static,Limber,Sand Veil,Unova,y
753,618,stunfisk-galarian,Galarian Stunfisk,Ground,Steel,+1d10/lvl,22,8,9,6,8,3,2,4,28,Small,45.19,Light,Water 1,Amorphous,Mimicry,,,Galar,y
754,619,mienfoo-default,Mienfoo,Fighting,,+1d6/lvl,20,8,5,5,5,6,2,11,35,Small,44.09,Light,Field,Human-Like,Inner Focus,Regenerator,Reckless,Unova,y
755,620,mienshao-default,Mienshao,Fighting,,+1d6/lvl,20,12,6,9,6,10,4,7,55,Medium,78.26,Light,Field,Human-Like,Inner Focus,Regenerator,Reckless,Unova,
756,621,druddigon-default,Druddigon,Dragon,,+1d8/lvl,21,12,9,6,9,4,5,3,63,Medium,306.44,Heavy,Dragon,Monster,Rough Skin,Sheer Force,Mold Breaker,Unova,y
757,622,golett-default,Golett,Ground,Ghost,+1d6/lvl,20,7,5,3,5,3,3,3,39,Small,202.83,Medium,Mineral,,Iron Fist,Klutz,No Guard,Unova,y
758,623,golurk-default,Golurk,Ground,Ghost,+1d8/lvl,21,12,8,5,8,5,9,2,110,Large,727.52,Massive,Mineral,,Iron Fist,Klutz,No Guard,Unova,
759,624,pawniard-default,Pawniard,Dark,Steel,+1d6/lvl,20,8,7,4,4,6,1,8,20,Small,22.49,Light,Human-Like,,Defiant,Inner Focus,Pressure,Unova,y
760,625,bisharp-default,Bisharp,Dark,Steel,+1d6/lvl,20,12,10,6,7,7,5,3,63,Medium,154.32,Medium,Human-Like,,Defiant,Inner Focus,Pressure,Unova,
761,626,bouffalant-default,Bouffalant,Normal,,+1d10/lvl,22,11,9,4,9,5,5,3,63,Medium,208.56,Medium,Field,,Reckless,Sap Sipper,Soundproof,Unova,y
762,627,rufflet-default,Rufflet,Normal,Flying,+1d8/lvl,21,8,5,3,5,6,1,8,20,Small,23.15,Light,Flying,,Keen Eye,Sheer Force,Hustle,Unova,y
763,628,braviary-default,Braviary,Normal,Flying,+1d10/lvl,22,12,7,5,7,8,4,11,59,Medium,90.39,Light,Flying,,Keen Eye,Sheer Force,Defiant,Unova,
764,628,braviary-hisuian,Hisuian Braviary,Psychic,Flying,+1d10/lvl,22,8,7,11,7,6,5,7,67,Medium,95.68,Light,Flying,,Keen Eye,Sheer Force,Tinted Lens,Hisui,
765,629,vullaby-default,Vullaby,Dark,Flying,+1d8/lvl,21,5,7,4,6,6,1,8,20,Small,19.84,Light,Flying,,Big Pecks,Overcoat,Weak Armor,Unova,y
766,630,mandibuzz-default,Mandibuzz,Dark,Flying,+1d10/lvl,22,6,10,5,9,8,3,11,47,Medium,87.08,Light,Flying,,Big Pecks,Overcoat,Weak Armor,Unova,
767,631,heatmor-default,Heatmor,Fire,,+1d8/lvl,21,9,6,10,6,6,4,7,55,Medium,127.87,Medium,Field,,Gluttony,Flash Fire,White Smoke,Unova,y
768,632,durant-default,Durant,Bug,Steel,+1d6/lvl,20,10,11,4,4,10,0,12,12,Small,72.75,Light,Bug,,Swarm,Hustle,Truant,Unova,y
769,633,deino-default,Deino,Dark,Dragon,+1d6/lvl,20,6,5,4,5,3,2,7,31,Small,38.14,Light,Dragon,,Hustle,,,Unova,y
770,634,zweilous-default,Zweilous,Dark,Dragon,+1d8/lvl,21,8,7,6,7,5,4,7,55,Medium,110.23,Medium,Dragon,,Hustle,,,Unova,
771,635,hydreigon-default,Hydreigon,Dark,Dragon,+1d8/lvl,21,10,9,12,9,9,5,11,71,Medium,352.74,Heavy,Dragon,,Levitate,,,Unova,
772,636,larvesta-default,Larvesta,Bug,Fire,+1d6/lvl,20,8,5,5,5,6,3,7,43,Medium,63.49,Light,Bug,,Flame Body,Swarm,,Unova,y
773,637,volcarona-default,Volcarona,Bug,Fire,+1d8/lvl,21,6,6,13,10,10,5,3,63,Medium,101.41,Medium,Bug,,Flame Body,Swarm,,Unova,
774,638,cobalion-default,Cobalion,Steel,Fighting,+1d8/lvl,21,9,12,9,7,10,6,11,83,Medium,551.16,Massive,No Eggs Discovered,,Justified,,,Unova,y
775,639,terrakion-default,Terrakion,Rock,Fighting,+1d8/lvl,21,12,9,7,9,10,6,3,75,Medium,573.2,Massive,No Eggs Discovered,,Justified,,,Unova,y
776,640,virizion-default,Virizion,Grass,Fighting,+1d8/lvl,21,9,7,9,12,10,6,7,79,Medium,440.92,Heavy,No Eggs Discovered,,Justified,,,Unova,y
777,641,tornadus-incarnate,Incarnate Tornadus,Flying,,+1d8/lvl,21,11,7,12,8,11,4,11,59,Medium,138.89,Medium,No Eggs Discovered,,Prankster,,Defiant,Unova,y
778,641,tornadus-therian,Therian Tornadus,Flying,,+1d8/lvl,21,10,8,11,9,12,4,7,55,Medium,138.89,Medium,No Eggs Discovered,,Regenerator,,,Unova,y
779,642,thundurus-incarnate,Incarnate Thundurus,Electric,Flying,+1d8/lvl,21,11,7,12,8,11,4,11,59,Medium,134.48,Medium,No Eggs Discovered,,Prankster,,Defiant,Unova,y
780,642,thundurus-therian,Therian Thundurus,Electric,Flying,+1d8/lvl,21,10,7,14,8,10,9,10,118,Large,134.48,Medium,No Eggs Discovered,,Volt Absorb,,,Unova,y
781,643,reshiram-default,Reshiram,Dragon,Fire,+1d10/lvl,22,12,10,15,12,9,10,6,126,Large,727.52,Massive,No Eggs Discovered,,Turboblaze,,,Unova,y
782,644,zekrom-default,Zekrom,Dragon,Electric,+1d10/lvl,22,15,12,12,10,9,9,6,114,Large,760.59,Massive,No Eggs Discovered,,Teravolt,,,Unova,y
783,645,landorus-incarnate,Incarnate Landorus,Ground,Flying,+1d8/lvl,21,12,9,11,8,10,4,11,59,Medium,149.91,Medium,No Eggs Discovered,,Sand Force,,Sheer Force,Unova,y
784,645,landorus-therian,Therian Landorus,Ground,Flying,+1d8/lvl,21,14,9,10,8,30,4,3,51,Medium,149.91,Medium,No Eggs Discovered,,Intimidate,,,Unova,y
785,646,kyurem-default,Kyurem,Dragon,Ice,+1d12/lvl,23,13,9,13,9,9,9,10,118,Large,716.5,Massive,No Eggs Discovered,,Pressure,,,Unova,y
786,646,kyurem-white,White Kyurem,Dragon,Ice,+1d12/lvl,23,12,9,17,10,9,11,10,142,Large,716.5,Massive,No Eggs Discovered,,Turboblaze,,,Unova,y
787,646,kyurem-black,Black Kyurem,Dragon,Ice,+1d12/lvl,23,17,10,12,9,9,10,10,130,Large,716.5,Massive,No Eggs Discovered,,Teravolt,,,Unova,y
788,647,keldeo-ordinary,Ordinary Keldeo,Water,Fighting,+1d8/lvl,21,7,9,12,9,10,4,7,55,Medium,106.92,Medium,No Eggs Discovered,,Justified,,,Unova,y
789,647,keldeo-resolute,Resolute Keldeo,Water,Fighting,+1d8/lvl,21,7,9,12,9,10,4,7,55,Medium,106.92,Medium,No Eggs Discovered,,Justified,,,Unova,
790,648,meloetta-aria,Aria Meloetta,Normal,Psychic,+1d10/lvl,22,7,7,12,12,9,1,12,24,Small,14.33,Light,No Eggs Discovered,,Serene Grace,,,Unova,y
791,648,meloetta-pirouette,Pirouette Meloetta,Normal,Fighting,+1d10/lvl,22,12,9,7,7,12,1,12,24,Small,14.33,Light,No Eggs Discovered,,Serene Grace,,,Unova,y
792,649,genesect-default,Genesect,Bug,Steel,+1d8/lvl,21,12,9,12,9,9,4,11,59,Medium,181.88,Medium,No Eggs Discovered,,Download,,,Unova,y
793,649,genesect-douse,Douse Genesect,Bug,Steel,+1d8/lvl,21,12,9,12,9,9,4,11,59,Medium,181.88,Medium,No Eggs Discovered,,Download,,,Unova,
794,649,genesect-shock,Shock Genesect,Bug,Steel,+1d8/lvl,21,12,9,12,9,9,4,11,59,Medium,181.88,Medium,No Eggs Discovered,,Download,,,Unova,
795,649,genesect-burn,Burn Genesect,Bug,Steel,+1d8/lvl,21,12,9,12,9,9,4,11,59,Medium,181.88,Medium,No Eggs Discovered,,Download,,,Unova,
796,649,genesect-chill,Chill Genesect,Bug,Steel,+1d8/lvl,21,12,9,12,9,9,4,11,59,Medium,181.88,Medium,No Eggs Discovered,,Download,,,Unova,
797,650,chespin-default,Chespin,Grass,,+1d6/lvl,20,6,6,4,4,3,1,4,16,Small,19.84,Light,Field,,Overgrow,,Bulletproof,Kalos,y
798,651,quilladin-default,Quilladin,Grass,,+1d6/lvl,20,7,9,5,5,5,2,4,28,Small,63.93,Light,Field,,Overgrow,,Bulletproof,Kalos,
799,652,chesnaught-default,Chesnaught,Grass,Fighting,+1d8/lvl,21,10,12,7,7,6,5,3,63,Medium,198.42,Medium,Field,,Overgrow,,Bulletproof,Kalos,
800,653,fennekin-default,Fennekin,Fire,,+1d4/lvl,19,4,4,6,6,6,1,4,16,Small,20.72,Light,Field,,Blaze,,Magician,Kalos,y
801,654,braixen-default,Braixen,Fire,,+1d6/lvl,20,5,5,9,7,7,3,3,39,Small,31.97,Light,Field,,Blaze,,Magician,Kalos,
802,655,delphox-default,Delphox,Fire,Psychic,+1d8/lvl,21,6,7,11,10,10,4,11,59,Medium,85.98,Light,Field,,Blaze,,Magician,Kalos,
803,656,froakie-default,Froakie,Water,,+1d4/lvl,19,5,4,6,4,7,0,12,12,Small,15.43,Light,Water 1,,Torrent,,Protean,Kalos,y
804,657,frogadier-default,Frogadier,Water,,+1d6/lvl,20,6,5,8,5,9,1,12,24,Small,24.03,Light,Water 1,,Torrent,,Protean,Kalos,
805,658,greninja-default,Greninja,Water,Dark,+1d8/lvl,21,9,6,10,7,12,4,11,59,Medium,88.18,Light,Water 1,,Torrent,,Protean,Kalos,
806,658,greninja-battlebond,Battlebond Greninja,Water,Dark,+1d8/lvl,21,9,6,10,7,12,4,11,59,Medium,88.18,Light,Water 1,,Battle Bond,,,Kalos,
807,658,greninja-ash,Ash Greninja,Water,Dark,+1d8/lvl,21,14,6,15,7,13,4,11,59,Medium,88.18,Light,Water 1,,Torrent,,Protean,Kalos,
808,659,bunnelby-default,Bunnelby,Normal,,+1d4/lvl,19,3,3,3,3,5,1,4,16,Small,11.02,Light,Field,,Pickup,Cheek Pouch,Huge Power,Kalos,y
809,660,diggersby-default,Diggersby,Normal,Ground,+1d8/lvl,21,5,7,5,7,7,3,3,39,Small,93.48,Light,Field,,Pickup,Cheek Pouch,Huge Power,Kalos,
810,661,fletchling-default,Fletchling,Normal,Flying,+1d6/lvl,20,5,4,4,3,6,0,12,12,Small,3.75,Feather,Flying,,Big Pecks,,Gale Wings,Kalos,y
811,662,fletchinder-default,Fletchinder,Fire,Flying,+1d6/lvl,20,7,5,5,5,8,2,4,28,Small,35.27,Light,Flying,,Flame Body,,Gale Wings,Kalos,
812,663,talonflame-default,Talonflame,Fire,Flying,+1d8/lvl,21,8,7,7,6,12,3,11,47,Medium,54.01,Light,Flying,,Flame Body,,Gale Wings,Kalos,
813,664,scatterbug-default,Scatterbug,Bug,,+1d4/lvl,19,3,4,2,2,3,0,12,12,Small,5.51,Feather,Bug,,Shield Dust,Compound Eyes,Friend Guard,Kalos,y
814,665,spewpa-default,Spewpa,Bug,,+1d6/lvl,20,2,6,2,3,2,0,12,12,Small,18.52,Light,Bug,,Shed Skin,,Friend Guard,Kalos,
815,666,vivillon-jungle,Jungle Vivillon,Bug,Flying,+1d8/lvl,21,5,5,9,5,8,3,11,47,Medium,37.48,Light,Bug,,Shield Dust,Compound Eyes,Friend Guard,Kalos,
816,666,vivillon-marine,Marine Vivillon,Bug,Flying,+1d8/lvl,21,5,5,9,5,8,3,11,47,Medium,37.48,Light,Bug,,Shield Dust,Compound Eyes,Friend Guard,Kalos,
817,666,vivillon-modern,Modern Vivillon,Bug,Flying,+1d8/lvl,21,5,5,9,5,8,3,11,47,Medium,37.48,Light,Bug,,Shield Dust,Compound Eyes,Friend Guard,Kalos,
818,666,vivillon-monsoon,Monsoon Vivillon,Bug,Flying,+1d8/lvl,21,5,5,9,5,8,3,11,47,Medium,37.48,Light,Bug,,Shield Dust,Compound Eyes,Friend Guard,Kalos,
819,666,vivillon-ocean,Ocean Vivillon,Bug,Flying,+1d8/lvl,21,5,5,9,5,8,3,11,47,Medium,37.48,Light,Bug,,Shield Dust,Compound Eyes,Friend Guard,Kalos,
820,666,vivillon-poke-ball,Poke Ball Vivillon,Bug,Flying,+1d8/lvl,21,5,5,9,5,8,3,11,47,Medium,37.48,Light,Bug,,Shield Dust,Compound Eyes,Friend Guard,Kalos,
821,666,vivillon-polar,Polar Vivillon,Bug,Flying,+1d8/lvl,21,5,5,9,5,8,3,11,47,Medium,37.48,Light,Bug,,Shield Dust,Compound Eyes,Friend Guard,Kalos,
822,666,vivillon-river,River Vivillon,Bug,Flying,+1d8/lvl,21,5,5,9,5,8,3,11,47,Medium,37.48,Light,Bug,,Shield Dust,Compound Eyes,Friend Guard,Kalos,
823,666,vivillon-sandstorm,Sandstorm Vivillon,Bug,Flying,+1d8/lvl,21,5,5,9,5,8,3,11,47,Medium,37.48,Light,Bug,,Shield Dust,Compound Eyes,Friend Guard,Kalos,
824,666,vivillon-savanna,Savanna Vivillon,Bug,Flying,+1d8/lvl,21,5,5,9,5,8,3,11,47,Medium,37.48,Light,Bug,,Shield Dust,Compound Eyes,Friend Guard,Kalos,
825,666,vivillon-sun,Sun Vivillon,Bug,Flying,+1d8/lvl,21,5,5,9,5,8,3,11,47,Medium,37.48,Light,Bug,,Shield Dust,Compound Eyes,Friend Guard,Kalos,
827,666,vivillon-archipelago,Archipelago Vivillon,Bug,Flying,+1d8/lvl,21,5,5,9,5,8,3,11,47,Medium,37.48,Light,Bug,,Shield Dust,Compound Eyes,Friend Guard,Kalos,
828,666,vivillon-continental,Continental Vivillon,Bug,Flying,+1d8/lvl,21,5,5,9,5,8,3,11,47,Medium,37.48,Light,Bug,,Shield Dust,Compound Eyes,Friend Guard,Kalos,
829,666,vivillon-elegant,Elegant Vivillon,Bug,Flying,+1d8/lvl,21,5,5,9,5,8,3,11,47,Medium,37.48,Light,Bug,,Shield Dust,Compound Eyes,Friend Guard,Kalos,
830,666,vivillon-fancy,Fancy Vivillon,Bug,Flying,+1d8/lvl,21,5,5,9,5,8,3,11,47,Medium,37.48,Light,Bug,,Shield Dust,Compound Eyes,Friend Guard,Kalos,
831,666,vivillon-garden,Garden Vivillon,Bug,Flying,+1d8/lvl,21,5,5,9,5,8,3,11,47,Medium,37.48,Light,Bug,,Shield Dust,Compound Eyes,Friend Guard,Kalos,
832,666,vivillon-high-plains,High Plains Vivillon,Bug,Flying,+1d8/lvl,21,5,5,9,5,8,3,11,47,Medium,37.48,Light,Bug,,Shield Dust,Compound Eyes,Friend Guard,Kalos,
833,666,vivillon-icy-snow,Icy Snow Vivillon,Bug,Flying,+1d8/lvl,21,5,5,9,5,8,3,11,47,Medium,37.48,Light,Bug,,Shield Dust,Compound Eyes,Friend Guard,Kalos,
834,666,vivillon-meadow,Meadow Vivillon,Bug,Flying,+1d8/lvl,21,5,5,9,5,8,3,11,47,Medium,37.48,Light,Bug,,Shield Dust,Compound Eyes,Friend Guard,Kalos,
835,667,litleo-default,Litleo,Fire,Normal,+1d6/lvl,20,5,5,7,5,7,1,12,24,Small,29.76,Light,Field,,Rivalry,Unnerve,Moxie,Kalos,y
836,668,pyroar-male,Male Pyroar,Fire,Normal,+1d8/lvl,21,6,7,10,6,10,4,11,59,Medium,179.68,Medium,Field,,Rivalry,Unnerve,Moxie,Kalos,
837,669,flabebe-red,Flabebe,Fairy,,+1d4/lvl,19,3,3,6,7,4,0,4,4,Small,0.22,Feather,Fairy,,Flower Veil,,Symbiosis,Kalos,y
838,669,flabebe-yellow,Yellow Flabebe,Fairy,,+1d4/lvl,19,3,3,6,7,4,0,4,4,Small,0.22,Feather,Fairy,,Flower Veil,,Symbiosis,Kalos,
839,669,flabebe-orange,Orange Flabebe,Fairy,,+1d4/lvl,19,3,3,6,7,4,0,4,4,Small,0.22,Feather,Fairy,,Flower Veil,,Symbiosis,Kalos,
840,669,flabebe-blue,Blue Flabebe,Fairy,,+1d4/lvl,19,3,3,6,7,4,0,4,4,Small,0.22,Feather,Fairy,,Flower Veil,,Symbiosis,Kalos,
841,669,flabebe-white,White Flabebe,Fairy,,+1d4/lvl,19,3,3,6,7,4,0,4,4,Small,0.22,Feather,Fairy,,Flower Veil,,Symbiosis,Kalos,
842,670,floette-red,Red Floette,Fairy,,+1d6/lvl,20,4,4,7,9,5,0,8,8,Small,1.98,Feather,Fairy,,Flower Veil,,Symbiosis,Kalos,
844,670,floette-yellow,Yellow Floette,Fairy,,+1d6/lvl,20,4,4,7,9,5,0,8,8,Small,1.98,Feather,Fairy,,Flower Veil,,Symbiosis,Kalos,
845,670,floette-orange,Orange Floette,Fairy,,+1d6/lvl,20,4,4,7,9,5,0,8,8,Small,1.98,Feather,Fairy,,Flower Veil,,Symbiosis,Kalos,
846,670,floette-blue,Blue Floette,Fairy,,+1d6/lvl,20,4,4,7,9,5,0,8,8,Small,1.98,Feather,Fairy,,Flower Veil,,Symbiosis,Kalos,
847,670,floette-white,White Floette,Fairy,,+1d8/lvl,21,6,6,12,12,9,0,8,8,Small,1.98,Feather,Fairy,,Flower Veil,,Symbiosis,Kalos,
848,670,floette-eternal,Eternal Floette,Fairy,,+1d8/lvl,21,6,6,12,12,9,0,8,8,Small,1.98,Feather,Fairy,,Flower Veil,,Symbiosis,Kalos,
849,671,florges-red,Red Florges,Fairy,,+1d8/lvl,21,6,6,11,15,7,3,7,43,Medium,22.05,Light,Fairy,,Flower Veil,,Symbiosis,Kalos,
850,671,florges-yellow,Yellow Florges,Fairy,,+1d8/lvl,21,6,6,11,15,7,3,7,43,Medium,22.05,Light,Fairy,,Flower Veil,,Symbiosis,Kalos,
851,671,florges-orange,Orange Florges,Fairy,,+1d8/lvl,21,6,6,11,15,7,3,7,43,Medium,22.05,Light,Fairy,,Flower Veil,,Symbiosis,Kalos,
852,671,florges-blue,Blue Florges,Fairy,,+1d8/lvl,21,6,6,11,15,7,3,7,43,Medium,22.05,Light,Fairy,,Flower Veil,,Symbiosis,Kalos,
853,672,skiddo-default,Skiddo,Grass,,+1d6/lvl,20,6,4,6,5,5,2,11,35,Small,68.34,Light,Field,,Sap Sipper,,Grass Pelt,Kalos,y
854,673,gogoat-default,Gogoat,Grass,,+1d12/lvl,23,10,6,9,8,6,5,7,67,Medium,200.62,Medium,Field,,Sap Sipper,,Grass Pelt,Kalos,
855,674,pancham-default,Pancham,Fighting,,+1d6/lvl,20,8,6,4,4,4,1,12,24,Small,17.64,Light,Field,Human-Like,Iron Fist,Mold Breaker,Scrappy,Kalos,y
856,675,pangoro-default,Pangoro,Fighting,Dark,+1d10/lvl,22,12,7,6,7,5,6,11,83,Medium,299.83,Heavy,Field,Human-Like,Iron Fist,Mold Breaker,Scrappy,Kalos,
857,676,furfrou-natural,Furfrou,Normal,,+1d8/lvl,21,8,6,6,9,10,3,11,47,Medium,61.73,Light,Field,,Fur Coat,,,Kalos,y
858,676,furfrou-heart,Heart Furfrou,Normal,,+1d8/lvl,21,8,6,6,9,10,3,11,47,Medium,61.73,Light,Field,,Fur Coat,,,Kalos,
859,676,furfrou-star,Star Furfrou,Normal,,+1d8/lvl,21,8,6,6,9,10,3,11,47,Medium,61.73,Light,Field,,Fur Coat,,,Kalos,
860,676,furfrou-diamond,Diamond Furfrou,Normal,,+1d8/lvl,21,8,6,6,9,10,3,11,47,Medium,61.73,Light,Field,,Fur Coat,,,Kalos,
861,676,furfrou-debutante,Debutante Furfrou,Normal,,+1d8/lvl,21,8,6,6,9,10,3,11,47,Medium,61.73,Light,Field,,Fur Coat,,,Kalos,
862,676,furfrou-matron,Matron Furfrou,Normal,,+1d8/lvl,21,8,6,6,9,10,3,11,47,Medium,61.73,Light,Field,,Fur Coat,,,Kalos,
863,676,furfrou-dandy,Dandy Furfrou,Normal,,+1d8/lvl,21,8,6,6,9,10,3,11,47,Medium,61.73,Light,Field,,Fur Coat,,,Kalos,
864,676,furfrou-lareine,Lareine Furfrou,Normal,,+1d8/lvl,21,8,6,6,9,10,3,11,47,Medium,61.73,Light,Field,,Fur Coat,,,Kalos,
865,676,furfrou-kabuki,Kabuki Furfrou,Normal,,+1d8/lvl,21,8,6,6,9,10,3,11,47,Medium,61.73,Light,Field,,Fur Coat,,,Kalos,
866,676,furfrou-pharaoh,Pharaoh Furfrou,Normal,,+1d8/lvl,21,8,6,6,9,10,3,11,47,Medium,61.73,Light,Field,,Fur Coat,,,Kalos,
867,677,espurr-default,Espurr,Psychic,,+1d6/lvl,20,4,5,6,6,6,0,12,12,Small,7.72,Feather,Field,,Keen Eye,Infiltrator,Own Tempo,Kalos,y
868,678,meowstic-male,Male Meowstic,Psychic,,+1d8/lvl,21,4,7,8,8,10,1,12,24,Small,18.74,Light,Field,,Keen Eye,Infiltrator,Prankster,Kalos,
869,678,meowstic-female,Female Meowstic,Psychic,,+1d8/lvl,21,4,7,8,8,10,1,12,24,Small,18.74,Light,Field,,Keen Eye,Infiltrator,Competitive,Kalos,
870,679,honedge-default,Honedge,Steel,Ghost,+1d6/lvl,20,8,10,3,3,2,2,7,31,Small,4.41,Feather,Mineral,,No Guard,,,Kalos,y
871,680,doublade-default,Doublade,Steel,Ghost,+1d6/lvl,20,11,15,4,4,3,2,7,31,Small,9.92,Feather,Mineral,,No Guard,,,Kalos,
872,681,aegislash-shield,Shield Aegislash,Steel,Ghost,+1d6/lvl,20,5,14,5,14,6,5,7,67,Medium,116.84,Medium,Mineral,,Stance Change,,,Kalos,
873,681,aegislash-blade,Blade Aegislash,Steel,Ghost,+1d6/lvl,20,14,5,14,5,6,5,7,67,Medium,116.84,Medium,Mineral,,Stance Change,,,Kalos,
874,682,spritzee-default,Spritzee,Fairy,,+1d8/lvl,21,5,6,6,6,2,0,8,8,Small,1.1,Feather,Fairy,,Healer,,Aroma Veil,Kalos,y
875,683,aromatisse-default,Aromatisse,Fairy,,+1d10/lvl,22,7,7,9,8,2,2,7,31,Small,34.17,Light,Fairy,,Healer,,Aroma Veil,Kalos,
